"","tissue"
"GSM2807391","Normal"
"GSM2807392","Hepatoblastoma"
"GSM2807393","Normal"
"GSM2807394","Hepatoblastoma"
"GSM2807395","Normal"
"GSM2807396","Normal"
"GSM2807397","Normal"
"GSM2807398","Hepatoblastoma"
"GSM2807399","Hepatoblastoma"
"GSM2807400","Hepatoblastoma"
"GSM2807401","Normal"
"GSM2807402","Hepatoblastoma"
"GSM2807403","Normal"
"GSM2807404","Hepatoblastoma"
"GSM2807405","Normal"
"GSM2807406","Hepatoblastoma"
"GSM2807407","Normal"
"GSM2807408","Hepatoblastoma"
"GSM2807409","Normal"
"GSM2807410","Hepatoblastoma"
"GSM2807411","Normal"
"GSM2807412","Hepatoblastoma"
"GSM2807413","Normal"
"GSM2807414","Hepatoblastoma"
"GSM2807415","Normal"
"GSM2807416","Hepatoblastoma"
"GSM2807417","Normal"
"GSM2807418","Hepatoblastoma"
"GSM2807419","Normal"
"GSM2807420","Hepatoblastoma"
"GSM2807421","Normal"
"GSM2807422","Normal"
"GSM2807423","Normal"
"GSM2807424","Hepatoblastoma"
"GSM2807425","Hepatoblastoma"
"GSM2807426","Hepatoblastoma"
"GSM2807427","Normal"
"GSM2807428","Hepatoblastoma"
"GSM2807429","Normal"
"GSM2807430","Hepatoblastoma"
"GSM2807431","Normal"
"GSM2807432","Hepatoblastoma"
"GSM2807433","Normal"
"GSM2807434","Hepatoblastoma"
"GSM2807435","Normal"
"GSM2807436","Hepatoblastoma"
"GSM2807437","Normal"
"GSM2807438","Normal"
"GSM2807439","Hepatoblastoma"
"GSM2807440","Hepatoblastoma"
"GSM2807441","Normal"
"GSM2807442","Hepatoblastoma"
"GSM2807443","Normal"
"GSM2807444","Hepatoblastoma"
"GSM2807445","Normal"
"GSM2807446","Hepatoblastoma"
"GSM2807447","Normal"
"GSM2807448","Hepatoblastoma"
"GSM2807449","Normal"
"GSM2807450","Hepatoblastoma"
