Unnamed: 0,Size,liver_PPI,Recon3D_metabolites,num_matches,matches
ClusterID:1,1,0,0,0, NaN
ClusterID:2,1,0,0,0, NaN
ClusterID:3,1,0,0,0, NaN
ClusterID:4,1,0,0,0, NaN
ClusterID:5,1,0,0,0, NaN
ClusterID:6,16,21,215,0, NaN
ClusterID:7,1907,38154,74,57," ['NNMT', 'VNN1', 'IGDCC3', 'XDH', 'CFHR3', 'IHH', 'PGC', 'IL1RAPL2', 'MARCO', 'DEFA5', 'F9', 'GREM2', 'PIGR', 'SLC6A2', 'COL11A2', 'CHRNA3', 'BMP10', 'FETUB', 'CNDP1', 'REG3G', 'SPINK4', 'GBA3', 'HTR1F', 'AFP', 'TAC3', 'MT1H', 'HRG', 'CRP', 'PON1', 'PRSS22', 'IGFALS', 'FGF4', 'PENK', 'SLPI', 'MT1M', 'CPA2', 'MFSD2A', 'CA4', 'CA7', 'HABP2', 'ODAM', 'GABRA4', 'SST', 'MOGAT2', 'GABRQ', 'APOF', 'EDDM3A', 'CYP2A6', 'CLEC1B', 'ZG16', 'HAMP', 'TINAG', 'REG3A', 'FCAMR', 'PRSS2', 'PGLYRP2', 'MT1G']"
ClusterID:8,1,0,0,0, NaN
ClusterID:9,87,998,88,2," ['KCNN2', 'TRPM8']"
ClusterID:10,1858,32731,410,16," ['MME', 'CLRN3', 'DLK1', 'GRPR', 'ACADL', 'PI16', 'NRG1', 'CHGB', 'DPEP1', 'HAO2', 'SDS', 'SLC7A3', 'RBP2', 'CACNG4', 'PLP1', 'GLYAT']"
ClusterID:11,3147,103211,490,14," ['OGDHL', 'LGSN', 'SLN', 'HSD11B1', 'HMGA2', 'LRRC52', 'RDH16', 'THRSP', 'ALDOB', 'MUCL1', 'DHRS2', 'GCK', 'HPGD', 'PRAME']"
ClusterID:12,7,10,44,0, NaN
ClusterID:13,6,4,21,0, NaN
ClusterID:14,12,9,550,0, NaN
ClusterID:15,23,18,924,0, NaN
ClusterID:16,10,8,80,0, NaN
ClusterID:17,710,8562,134,3," ['CRYAA', 'CST4', 'ZIC4']"
ClusterID:18,111,834,0,1, ['DKK1']
ClusterID:19,16,5,393,2," ['CYP11B1', 'SRD5A2']"
ClusterID:20,1562,66851,11305,8," ['CAMK2B', 'ANXA10', 'GLS2', 'BIRC7', 'DLX4', 'ASPG', 'NAT2', 'CSN2']"
ClusterID:21,1,0,0,0, NaN
ClusterID:22,1,0,0,0, NaN
ClusterID:23,1,0,0,0, NaN
ClusterID:24,1,0,0,0, NaN
ClusterID:25,1,0,0,0, NaN
ClusterID:26,1,0,0,0, NaN
ClusterID:27,1,0,0,0, NaN
ClusterID:28,2,1,0,0, NaN
ClusterID:29,1,0,0,0, NaN
ClusterID:30,38,63,2876,3," ['AKR7A3', 'ADH1C', 'SLC22A1']"
ClusterID:31,1,0,0,0, NaN
ClusterID:32,1,0,0,0, NaN
ClusterID:33,1,0,0,0, NaN
ClusterID:34,1,0,0,0, NaN
ClusterID:35,2133,62759,30,20," ['LMO1', 'UBE2C', 'HOXD1', 'TERT', 'TBX15', 'CCNO', 'TDO2', 'CCDC33', 'HOXA11', 'USP2', 'TMCO6', 'VAX2', 'EVX1', 'TBX5', 'FOXN4', 'BCO2', 'SIX2', 'IDO2', 'STRA6', 'RNF165']"
ClusterID:36,1,0,0,0, NaN
ClusterID:37,1,0,0,0, NaN
ClusterID:38,1,0,0,0, NaN
ClusterID:39,1,0,0,0, NaN
ClusterID:40,1,0,0,0, NaN
ClusterID:41,1,0,0,0, NaN
ClusterID:42,1,0,0,0, NaN
ClusterID:43,1,0,0,1, ['SLC22A12']
ClusterID:44,1,0,0,0, NaN
ClusterID:45,1,0,0,0, NaN
ClusterID:46,1,0,0,0, NaN
ClusterID:47,1,0,0,0, NaN
ClusterID:48,1,0,0,0, NaN
ClusterID:49,1,0,0,0, NaN
ClusterID:50,1,0,0,0, NaN
ClusterID:51,1,0,0,0, NaN
ClusterID:52,1,0,0,0, NaN
ClusterID:53,1,0,0,0, NaN
ClusterID:54,1,0,0,0, NaN
