	Size	liver_PPI
ClusterID:1	1	0
ClusterID:2	1	0
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	1	0
ClusterID:10	13	23
ClusterID:11	211	3524
ClusterID:12	195	7277
ClusterID:13	18	44
ClusterID:14	82	1624
ClusterID:15	237	4685
ClusterID:16	247	4013
ClusterID:17	57	458
ClusterID:18	160	1617
ClusterID:19	109	513
ClusterID:20	83	973
ClusterID:21	126	1142
ClusterID:22	24	113
ClusterID:23	13	12
ClusterID:24	24	47
ClusterID:25	20	19
ClusterID:26	143	1776
ClusterID:27	148	1561
ClusterID:28	47	130
ClusterID:29	5	4
ClusterID:30	98	720
ClusterID:31	13	16
ClusterID:32	24	43
ClusterID:33	48	542
ClusterID:34	1	0
ClusterID:35	148	1441
ClusterID:36	5	4
ClusterID:37	108	1620
ClusterID:38	80	511
ClusterID:39	182	3249
ClusterID:40	203	3801
ClusterID:41	2	1
ClusterID:42	83	250
ClusterID:43	3	2
ClusterID:44	174	1352
ClusterID:45	43	152
ClusterID:46	20	23
ClusterID:47	57	258
ClusterID:48	9	8
ClusterID:49	3	2
ClusterID:50	187	1173
ClusterID:51	12	17
ClusterID:52	27	89
ClusterID:53	40	97
ClusterID:54	43	108
ClusterID:55	45	184
ClusterID:56	72	835
ClusterID:57	34	101
ClusterID:58	4	3
ClusterID:59	74	314
ClusterID:60	64	85
ClusterID:61	19	82
ClusterID:62	23	48
ClusterID:63	38	91
ClusterID:64	54	498
ClusterID:65	250	2185
ClusterID:66	146	1728
ClusterID:67	21	38
ClusterID:68	279	4665
ClusterID:69	74	638
ClusterID:70	225	935
ClusterID:71	13	38
ClusterID:72	117	685
ClusterID:73	10	14
ClusterID:74	8	7
ClusterID:75	75	473
ClusterID:76	4	4
ClusterID:77	126	287
ClusterID:78	1	0
ClusterID:79	2	1
ClusterID:80	55	318
ClusterID:81	80	565
ClusterID:82	142	1587
ClusterID:83	302	3333
ClusterID:84	80	842
ClusterID:85	28	84
ClusterID:86	69	655
ClusterID:87	42	371
ClusterID:88	459	5197
ClusterID:89	62	203
ClusterID:90	23	55
ClusterID:91	4	3
ClusterID:92	17	41
ClusterID:93	62	141
ClusterID:94	10	18
ClusterID:95	3	2
ClusterID:96	160	1596
ClusterID:97	6	5
ClusterID:98	99	871
ClusterID:99	170	3357
ClusterID:100	68	910
ClusterID:101	54	249
ClusterID:102	29	92
ClusterID:103	269	4521
ClusterID:104	27	94
ClusterID:105	50	618
ClusterID:106	57	438
ClusterID:107	68	263
ClusterID:108	49	119
ClusterID:109	147	4028
ClusterID:110	47	221
ClusterID:111	110	1298
ClusterID:112	154	4830
ClusterID:113	9	10
ClusterID:114	2	1
ClusterID:115	43	385
ClusterID:116	43	114
ClusterID:117	27	52
ClusterID:118	21	53
ClusterID:119	26	68
ClusterID:120	15	16
ClusterID:121	12	35
ClusterID:122	71	565
ClusterID:123	152	3248
ClusterID:124	41	140
ClusterID:125	23	37
ClusterID:126	5	7
ClusterID:127	2	1
ClusterID:128	14	14
ClusterID:129	37	185
ClusterID:130	8	7
ClusterID:131	261	15451
ClusterID:132	1	0
ClusterID:133	154	2294
ClusterID:134	185	785
ClusterID:135	79	974
ClusterID:136	62	280
ClusterID:137	30	118
ClusterID:138	103	926
ClusterID:139	293	1774
ClusterID:140	218	3328
ClusterID:141	41	233
ClusterID:142	14	15
ClusterID:143	23	48
ClusterID:144	11	10
ClusterID:145	36	131
ClusterID:146	12	11
ClusterID:147	148	2491
ClusterID:148	36	63
ClusterID:149	3	2
ClusterID:150	1	0
ClusterID:151	104	235
ClusterID:152	39	82
ClusterID:153	9	8
ClusterID:154	6	5
ClusterID:155	47	51
ClusterID:156	123	3326
ClusterID:157	5	4
ClusterID:158	217	5460
ClusterID:159	3	2
ClusterID:160	39	151
ClusterID:161	23	73
ClusterID:162	32	46
ClusterID:163	3	2
ClusterID:164	16	16
ClusterID:165	3	2
ClusterID:166	137	1200
ClusterID:167	24	23
ClusterID:168	1	0
ClusterID:169	12	11
ClusterID:170	22	44
ClusterID:171	94	105
ClusterID:172	9	8
ClusterID:173	54	208
ClusterID:174	30	71
ClusterID:175	2	1
ClusterID:176	12	11
ClusterID:177	1	0
ClusterID:178	45	47
